location_code,location_name,location_code_parent,country_iso_code,location_type
2840,United States,,US,Country
21132,"Alaska,United States",2840.0,US,State
21133,"Alabama,United States",2840.0,US,State
21135,"Arkansas,United States",2840.0,US,State
21136,"Arizona,United States",2840.0,US,State
21137,"California,United States",2840.0,US,State
21138,"Colorado,United States",2840.0,US,State
21139,"Connecticut,United States",2840.0,US,State
21140,"District of Columbia,United States",2840.0,US,State
21141,"Delaware,United States",2840.0,US,State
21142,"Florida,United States",2840.0,US,State
21143,"Georgia,United States",2840.0,US,State
21144,"Hawaii,United States",2840.0,US,State
21145,"Iowa,United States",2840.0,US,State
21146,"Idaho,United States",2840.0,US,State
21147,"Illinois,United States",2840.0,US,State
21148,"Indiana,United States",2840.0,US,State
21149,"Kansas,United States",2840.0,US,State
21150,"Kentucky,United States",2840.0,US,State
21151,"Louisiana,United States",2840.0,US,State
21152,"Massachusetts,United States",2840.0,US,State
21153,"Maryland,United States",2840.0,US,State
21154,"Maine,United States",2840.0,US,State
21155,"Michigan,United States",2840.0,US,State
21156,"Minnesota,United States",2840.0,US,State
21157,"Missouri,United States",2840.0,US,State
21158,"Mississippi,United States",2840.0,US,State
21159,"Montana,United States",2840.0,US,State
21160,"North Carolina,United States",2840.0,US,State
21161,"North Dakota,United States",2840.0,US,State
21162,"Nebraska,United States",2840.0,US,State
21163,"New Hampshire,United States",2840.0,US,State
21164,"New Jersey,United States",2840.0,US,State
21165,"New Mexico,United States",2840.0,US,State
21166,"Nevada,United States",2840.0,US,State
21167,"New York,United States",2840.0,US,State
21168,"Ohio,United States",2840.0,US,State
21169,"Oklahoma,United States",2840.0,US,State
21170,"Oregon,United States",2840.0,US,State
21171,"Pennsylvania,United States",2840.0,US,State
21172,"Rhode Island,United States",2840.0,US,State
21173,"South Carolina,United States",2840.0,US,State
21174,"South Dakota,United States",2840.0,US,State
21175,"Tennessee,United States",2840.0,US,State
21176,"Texas,United States",2840.0,US,State
21177,"Utah,United States",2840.0,US,State
21178,"Virginia,United States",2840.0,US,State
21179,"Vermont,United States",2840.0,US,State
21180,"Washington,United States",2840.0,US,State
21182,"Wisconsin,United States",2840.0,US,State
21183,"West Virginia,United States",2840.0,US,State
21184,"Wyoming,United States",2840.0,US,State
200500,"Portland-Auburn, ME,United States",2840.0,US,DMA Region
200501,"New York, NY,United States",2840.0,US,DMA Region
200502,"Binghamton, NY,New York,United States",21167.0,US,DMA Region
200503,"Macon, GA,Georgia,United States",21143.0,US,DMA Region
200504,"Philadelphia, PA,United States",2840.0,US,DMA Region
200505,"Detroit, MI,Michigan,United States",21155.0,US,DMA Region
200506,"Boston, MA-Manchester, NH,United States",2840.0,US,DMA Region
200507,"Savannah, GA,United States",2840.0,US,DMA Region
200508,"Pittsburgh, PA,United States",2840.0,US,DMA Region
200509,"Ft. Wayne, IN,United States",2840.0,US,DMA Region
200510,"Cleveland-Akron (Canton), OH,Ohio,United States",21168.0,US,DMA Region
200511,"Washington, DC (Hagerstown, MD),United States",2840.0,US,DMA Region
200512,"Baltimore, MD,Maryland,United States",21153.0,US,DMA Region
200513,"Flint-Saginaw-Bay City, MI,Michigan,United States",21155.0,US,DMA Region
200514,"Buffalo, NY,United States",2840.0,US,DMA Region
200515,"Cincinnati, OH,United States",2840.0,US,DMA Region
200516,"Erie, PA,Pennsylvania,United States",21171.0,US,DMA Region
200517,"Charlotte, NC,United States",2840.0,US,DMA Region
200518,"Greensboro-High Point-Winston Salem, NC,United States",2840.0,US,DMA Region
200519,"Charleston, SC,South Carolina,United States",21173.0,US,DMA Region
200520,"Augusta, GA,United States",2840.0,US,DMA Region
200521,"Providence, RI-New Bedford, MA,United States",2840.0,US,DMA Region
200522,"Columbus, GA,United States",2840.0,US,DMA Region
200523,"Burlington, VT-Plattsburgh, NY,United States",2840.0,US,DMA Region
200524,"Atlanta, GA,United States",2840.0,US,DMA Region
200525,"Albany, GA,Georgia,United States",21143.0,US,DMA Region
200526,"Utica, NY,New York,United States",21167.0,US,DMA Region
200527,"Indianapolis, IN,Indiana,United States",21148.0,US,DMA Region
200528,"Miami-Ft. Lauderdale, FL,Florida,United States",21142.0,US,DMA Region
200529,"Louisville, KY,United States",2840.0,US,DMA Region
200530,"Tallahassee, FL-Thomasville, GA,United States",2840.0,US,DMA Region
200531,"Tri-Cities, TN-VA,United States",2840.0,US,DMA Region
200532,"Albany-Schenectady-Troy, NY,United States",2840.0,US,DMA Region
200533,"Hartford & New Haven, CT,Connecticut,United States",21139.0,US,DMA Region
200534,"Orlando-Daytona Beach-Melbourne, FL,Florida,United States",21142.0,US,DMA Region
200535,"Columbus, OH,Ohio,United States",21168.0,US,DMA Region
200536,"Youngstown, OH,United States",2840.0,US,DMA Region
200537,"Bangor, ME,Maine,United States",21154.0,US,DMA Region
200538,"Rochester, NY,New York,United States",21167.0,US,DMA Region
200539,"Tampa-St Petersburg (Sarasota), FL,Florida,United States",21142.0,US,DMA Region
200540,"Traverse City-Cadillac, MI,Michigan,United States",21155.0,US,DMA Region
200541,"Lexington, KY,Kentucky,United States",21150.0,US,DMA Region
200542,"Dayton, OH,Ohio,United States",21168.0,US,DMA Region
200543,"Springfield-Holyoke, MA,Massachusetts,United States",21152.0,US,DMA Region
200544,"Norfolk-Portsmouth-Newport News,VA,United States",2840.0,US,DMA Region
200545,"Greenville-New Bern-Washington, NC,North Carolina,United States",21160.0,US,DMA Region
200546,"Columbia, SC,South Carolina,United States",21173.0,US,DMA Region
200547,"Toledo, OH,United States",2840.0,US,DMA Region
200548,"West Palm Beach-Ft. Pierce, FL,Florida,United States",21142.0,US,DMA Region
200549,"Watertown, NY,New York,United States",21167.0,US,DMA Region
200550,"Wilmington, NC,North Carolina,United States",21160.0,US,DMA Region
200551,"Lansing, MI,Michigan,United States",21155.0,US,DMA Region
200552,"Presque Isle, ME,Maine,United States",21154.0,US,DMA Region
200553,"Marquette, MI,Michigan,United States",21155.0,US,DMA Region
200554,"Wheeling, WV-Steubenville, OH,United States",2840.0,US,DMA Region
200555,"Syracuse, NY,New York,United States",21167.0,US,DMA Region
200556,"Richmond-Petersburg, VA,Virginia,United States",21178.0,US,DMA Region
200557,"Knoxville, TN,United States",2840.0,US,DMA Region
200558,"Lima, OH,Ohio,United States",21168.0,US,DMA Region
200559,"Bluefield-Beckley-Oak Hill, WV,United States",2840.0,US,DMA Region
200560,"Raleigh-Durham (Fayetteville), NC,United States",2840.0,US,DMA Region
200561,"Jacksonville, FL,United States",2840.0,US,DMA Region
200563,"Grand Rapids-Kalamazoo-Battle Creek, MI,Michigan,United States",21155.0,US,DMA Region
200564,"Charleston-Huntington, WV,United States",2840.0,US,DMA Region
200565,"Elmira, NY,United States",2840.0,US,DMA Region
200566,"Harrisburg-Lancaster-Lebanon-York, PA,Pennsylvania,United States",21171.0,US,DMA Region
200567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC,United States",2840.0,US,DMA Region
200569,"Harrisonburg, VA,United States",2840.0,US,DMA Region
